start	end	alignments	probability
14911	16796	244	1.11022302463e-16
19224	20691	184	1.11022302463e-16
26069	26752	76	1.11022302463e-16
27114	29031	227	1.11022302463e-16
65035	66932	227	1.11022302463e-16
87993	88389	41	8.00992605576e-12
93604	95474	223	1.11022302463e-16
129181	131124	261	1.11022302463e-16
133089	134903	228	1.11022302463e-16
172435	173522	143	1.11022302463e-16
173667	174043	36	1.08638631424e-09
174726	175091	34	5.85811277265e-09
194937	195703	99	1.11022302463e-16
202069	204000	240	1.11022302463e-16
218193	219291	143	1.11022302463e-16
223269	225321	255	1.11022302463e-16
259555	260099	56	2.99760216649e-15
