PhageName	Cluster
244	E
ABCat	E
Abdiel	A4
Abrogate	A1
ABU	B1
Acadian	B5
Achebe	A4
Adephagia	K1
Adjutor	D1
Adzzy	A2
Aeneas	A1
Aglet	A3
Airmid	A5
Akoma	B3
Alice	C1
Alma	A9
Alsfro	A1
Altwerkus	B1
Alvin	A1
Amelie	K1
Anaya	K1
Angel	G
Angelica	K1
Anglerfish	A1
AnnaL29	A1
Annihilator	G
Apizium	B1
Aragog	A5
Arbiter	B2
Arcanine	A1
ArcherS7	C1
Archetta	A5
Archie	L2
Ardmore	F1
Ares	B2
Ariel	J
Artemis2UCLA	A6
Arturo	A4
Astraea	C1
Astro	A8
Athena	B3
Audrey	B3
Ava3	C1
Avani	F2
Avrafan	G
Babsiella	I1
Bachome	A11
Backyardigan	A4
Badfish	B1
BAKA	J
Bangla1971	C1
Banjo	B1
Barnyard	H2
BarrelRoll	K1
Barriga	A1
Bask21	E
Batiatus	F1
BeanWater	C1
BeesKnees	A1
BEEST	K1
BellusTerra	A4
Benedict	A5
Bernal13	T
Bernardo	B3
Bethlehem	A1
BigMama	D1
BigNuz	P
BillKnuckles	A1
Bipolar	F1
BlackStallion	B1
Blue7	A6
Bob3	A1
Bobi	F1
Bongo	M1
Boomer	F1
BPBiebs31	A1
BPs	G
BQuat	G
Breeniome	C1
Breezona	L2
Brocalys	F1
Broseidon	A4
Browncna	B4
BruceB	G
Bruin	E
Bruiser	A4
Brujita	I1
Bruns	A1
Bubbles123	F1
BubbleTrouble	A4
Bugsy	A2
Bunnies	P
Burger	A4
Butters	N
Butterscotch	D1
BuzzLyseyear	F1
Bxb1	A1
Bxz1	C1
Bxz2	A3
Cabrinians	F1
Cactus	E
Caelakin	A4
Cali	C1
Camperdownii	A4
CaptainTrips	F1
Carcharodon	N
Catalina	A9
Catdawg	O
Catera	C1
Cerasum	F1
Chadwick	A5
Chah	B1
Chandler	B3
Changeling	A2
Charlie	N
CharlieB	C1
Che12	A2
Che8	F1
Che9c	I2
Che9d	F2
Cheetobro	K4
Cherrybomb426	G
ChipMunk	A2
Chorkpop	B1
ChrisnMich	B4
Chunky	B1
Cjw1	E
Clarenza	A4
CloudWang3	A6
Colbert	B1
Collard	K5
Compostia	B3
ConceptII	A1
Conspiracy	A5
Contagion	E
Cooper	B4
Corndog	O
Corvo	A1
Cosmo	Unclustered
Courthouse	J
CREW	K1
CrimD	K1
Crossroads	L2
Crownjwl	B1
Cuco	A5
Czyszczon1	E
D29	A2
Daenerys	F1
Daffy	B1
DaHudson	A3
Daisy	B3
Damien	H1
Dandelion	C1
Dante	F1
DaVinci	A6
DD5	A1
DeadP	F1
Delilah	C1
Dhanush	A4
DirtMcgirt	F1
DLane	F1
Donovan	P
DonSanchon	B1
Doom	A1
Dori	Singleton
Dorothy	F1
DotProduct	F1
Drago	F1
Drazdys	C1
DrDrey	E
Dreamboat	A1
DS6A	Singleton
DTDevon	C1
Duke13	J
Dumbo	E
Dusk	E
Dylan	O
Dynamix	A1
Eagle	A4
EagleEye	A2
Eaglehorse	B2
Echild	A2
Edtherson	A1
Elph10	E
ElTiger69	A5
Emerson	K1
Empress	F1
EmpTee	B1
EmToTheThree	C1
EpicPhail	A3
Equemioh13	A2
Eremos	B1
EricB	A6
EricMillard	J
Eris	A4
ErnieJ	C1
Estave1	F1
ET08	C1
Et2Brutus	A11
Euphoria	A1
Eureka	E
Evanesce	Q
EvilGenius	A2
Expelliarmus	A8
Faith1	L2
Fang	B1
Farber	A3
Fascinus	A1
Fibonacci	A11
Fionnbharth	K4
Firecracker	O
FireRed	E
Fishburne	P
Florinda	F1
FluffyNinja	B1
Flux	A4
ForGetIt	A5
Forsytheast	A1
Frederick	B4
FriarPreacher	B1
Frosty24	G
Fruitloop	F1
Funston	A4
Fushigi	A1
Gadjet	B3
Gadost	A4
GageAP	A1
Gaia	Singleton
Gengar	K5
George	A5
Ghost	C1
Giles	Q
GingkoMaracino	A3
Girafales	F1
Girr	F1
Gizmo	C1
Gladiator	A6
Godines	B2
Goku	E
Gomashi	G
Goose	A10
Graduation	A1
Grum1	A3
Gumball	D1
GUmbie	F1
Gyarad	B1
Hades	F1
Halley	J
Halo	G
Hammer	A6
HamSlice	A4
Hamulus	F1
HanShotFirst	A1
