GATC,0,2500,5000,7500,10000,12500,15000,17500,20000,22500,25000,27500,30000,32500,35000,37500,40000,42500,45000,47500,50000,52500,55000,57500,60000
Arbiter(B2),17,21,27,24,23,18,9,14,21,28,23,22,30,22,22,27,22,12,16,26,21,18,18,17,13
Ares(B2),18,22,26,23,22,17,8,14,21,27,23,21,23,16,21,26,21,13,17,25,21,19,18,17,13
Eaglehorse(B2),18,21,25,22,20,15,8,14,22,28,23,22,30,22,21,27,20,11,17,26,19,18,19,15,11
Hedgerow(B2),17,21,28,23,20,16,8,14,21,26,21,21,29,22,22,26,21,12,16,25,18,16,19,17,12
Kheth(B2),17,21,26,24,23,17,8,14,21,26,22,21,31,24,22,28,21,12,18,25,19,18,18,15,11
Laurie(B2),19,22,24,20,20,17,9,14,20,27,23,23,21,13,26,29,18,13,19,23,19,20,20,19,16
LizLemon(B2),18,21,28,24,22,18,9,15,22,26,21,23,31,22,23,28,22,13,17,26,21,18,19,18,13
Qyrzula(B2),17,21,28,25,23,18,9,14,21,27,22,23,23,15,23,27,22,13,17,27,22,17,18,17,12
Rosebush(B2),18,21,28,25,23,17,8,14,21,26,21,21,29,22,22,26,21,12,16,25,18,15,17,16,12
TA17A(B2),17,23,25,22,22,16,8,15,22,26,22,24,33,23,22,28,21,11,17,25,18,17,18,15,12
