qseqid,sseqid,filename,cluster,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
NC_019951_9_21,Sparky,Sparky.fasta,Singleton,91.43,35,3,0,1,35,40242,40276,0.0000005,50
NC_019951_8_42,Amelie,Amelie.fasta,K1,96.15,26,1,0,1,26,32387,32362,0.00007,42.8
NC_019951_9_20,Squirty,Squirty.fasta,F3,85.71,35,5,0,1,35,48497,48531,0.0003,41
NC_019951_9_21,RonRayGun,RonRayGun.fasta,T,85.71,35,5,0,1,35,33595,33629,0.0003,41
NC_019951_9_21,Mendokysei,Mendokysei.fasta,T,85.71,35,5,0,1,35,32701,32735,0.0003,41
NC_019951_9_21,Bernal13,Bernal13.fasta,T,85.71,35,5,0,1,35,33149,33183,0.0003,41
NC_019951_9_9,Petp2012,Petp2012.fasta,A1,88.24,34,2,2,4,36,18004,17972,0.003,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,Zemanar,Zemanar.fasta,B4,86.67,30,4,0,5,34,25300,25271,0.004,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,gi|192758230|gb|EU770221.1|,Nigel.fasta,B4,86.67,30,4,0,5,34,24183,24154,0.004,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,ChrisnMich,ChrisnMich.fasta,B4,86.67,30,4,0,5,34,24265,24236,0.004,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,Zemanar,Zemanar.fasta,B4,86.67,30,4,0,5,34,25300,25271,0.004,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,gi|192758230|gb|EU770221.1|,Nigel.fasta,B4,86.67,30,4,0,5,34,24183,24154,0.004,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,ChrisnMich,ChrisnMich.fasta,B4,86.67,30,4,0,5,34,24265,24236,0.004,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,Zemanar,Zemanar.fasta,B4,86.67,30,4,0,5,34,25300,25271,0.004,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,gi|192758230|gb|EU770221.1|,Nigel.fasta,B4,86.67,30,4,0,5,34,24183,24154,0.004,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,ChrisnMich,ChrisnMich.fasta,B4,86.67,30,4,0,5,34,24265,24236,0.004,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,Zemanar,Zemanar.fasta,B4,86.67,30,4,0,5,34,25300,25271,0.004,37.4
NC_000962_6_12|NC_008769_4_13|NC_009525_6_12|NC_012207_4_13|NC_012943_2_12|NC_015758_5_14|NC_016768_2_12|NC_016804_4_13|NC_017524_8_4|NC_017528_7_12|NC_018078_2_12|NC_018143_6_12|NC_020089_4_25|NC_020245_4_13|NC_020559_5_14|NC_021054_8_11,gi|192758230|gb|EU770221.1|,Nigel.fasta,B4,86.67,30,4,0,5,34,24183,24154,0.004,37.4
