GGATCC,0,2500,5000,7500,10000,12500,15000,17500,20000,22500,25000,27500,30000,32500,35000,37500,40000,42500,45000,47500,50000,52500,55000,57500,60000
Arbiter(B2),0,0,2,2,0,0,0,1,1,0,1,2,1,0,0,1,1,0,1,2,2,1,1,2,2
Ares(B2),0,0,2,2,0,0,0,1,1,0,1,2,1,0,0,1,1,1,2,2,2,1,2,3,2
Eaglehorse(B2),2,1,1,1,0,0,0,1,1,0,1,2,1,0,0,1,2,1,1,2,2,2,1,1,2
Hedgerow(B2),0,0,2,2,0,0,0,1,1,0,1,2,1,0,0,1,1,0,1,2,1,0,2,3,2
Kheth(B2),1,1,2,2,0,0,0,1,1,0,1,2,1,0,0,1,1,0,1,2,2,1,1,2,2
Laurie(B2),2,1,2,2,0,0,0,1,1,0,1,2,1,0,1,2,1,1,2,2,1,1,1,2,2
LizLemon(B2),1,0,2,2,0,0,0,1,1,0,1,2,1,0,1,2,1,0,1,2,2,2,2,2,2
Qyrzula(B2),0,0,2,2,0,0,0,1,1,0,1,2,1,0,0,1,1,1,2,2,2,1,1,2,2
Rosebush(B2),1,0,2,2,0,0,0,1,1,0,1,2,1,0,0,1,1,0,1,2,1,0,1,2,2
TA17A(B2),1,1,1,1,0,0,0,1,1,0,1,2,1,0,0,1,1,0,1,2,1,1,1,1,2
