GATC,0,2500,5000,7500,10000,12500,15000,17500,20000,22500,25000,27500,30000,32500,35000,37500,40000,42500,45000,47500,50000,52500,55000,57500,60000,62500
Akoma(B3),74,76,66,60,49,51,56,55,59,66,71,60,45,49,64,65,52,59,65,63,72,65,56,56,54,51
Athena(B3),69,67,76,69,55,54,45,53,63,65,64,61,42,41,65,63,61,61,63,59,64,70,58,58,55,51
Audrey(B3),77,76,67,62,53,52,51,52,59,65,68,57,43,50,68,68,54,60,65,60,66,62,60,60,53,48
Bernardo(B3),75,75,66,63,52,50,54,54,59,64,66,58,41,45,58,62,63,62,64,60,65,64,59,63,53,49
Compostia(B3),76,77,70,66,55,53,51,52,58,63,68,62,45,50,61,58,58,63,66,57,64,71,58,58,59,49
Daisy(B3),76,76,70,63,50,51,51,51,58,65,70,60,46,50,63,64,55,61,64,63,70,60,60,60,51,55
Gadjet(B3),78,79,70,65,53,51,53,54,59,66,68,56,50,56,64,66,57,59,65,57,62,65,56,61,60,54
Heathcliff(B3),76,76,65,61,53,50,50,53,61,65,69,60,44,47,62,64,53,60,65,61,66,60,59,62,56,48
Kamiyu(B3),75,78,71,66,52,50,51,53,63,67,70,61,51,54,62,65,54,60,67,65,71,63,55,57,55,49
Phaedrus(B3),73,74,69,61,51,50,51,54,63,66,67,58,52,54,62,64,52,58,65,63,68,60,55,54,49,54
Phlyer(B3),70,69,72,66,56,53,45,53,64,64,63,62,53,51,64,64,61,61,64,58,64,70,56,58,56,51
Pipefish(B3),70,68,76,66,50,49,46,59,68,64,59,60,44,40,64,66,60,55,64,67,69,69,57,59,58,49
Yahalom(B3),74,76,71,63,47,48,55,57,60,66,71,59,48,53,64,64,53,61,66,62,72,63,58,57,51,52
