GATC	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000	5500	6000	6500	7000	7500	8000	8500	9000	9500	10000	10500	11000	11500	12000	12500	13000	13500	14000	14500	15000	15500	16000	16500	17000	17500	18000	18500	19000	19500	20000	20500	21000	21500	22000	22500	23000	23500	24000	24500	25000	25500	26000	26500	27000	27500	28000	28500	29000	29500	30000	30500	31000	31500	32000	32500	33000	33500	34000	34500	35000	35500	36000	36500	37000	37500	38000	38500	39000	39500	40000	40500	41000	41500	42000	42500	43000	43500	44000	44500	45000	45500	46000	46500	47000	47500	48000	48500	49000	49500	50000	50500	51000	51500	52000	52500	53000	53500	54000	54500	55000	55500	56000	56500	57000	57500	58000	58500	59000	59500	60000	60500	61000	61500	62000	62500	63000	63500	64000	64500	65000	65500	66000
Arbiter(B2)	5	5	3	2	1	2	4	4	4	8	9	6	3	1	4	6	8	5	3	5	5	5	2	3	4	4	6	7	6	4	3	1	0	2	3	2	1	1	2	2	5	5	3	4	3	5	6	5	4	1	2	6	6	11	9	2	3	4	3	4	7	5	5	7	6	5	7	7	5	3	3	4	3	3	4	6	8	7	4	5	7	5	4	4	6	8	4	0	1	1	1	3	2	0	2	5	3	4	8	6	3	5	5	6	5	2	5	5	3	5	5	4	4	2	2	4	5	3	2	3	5	4	3	3	3	2	0	1	2	3	2	2	5
Ares(B2)	5	4	2	2	3	2	2	4	6	8	7	6	4	2	3	6	8	6	4	5	4	3	2	3	4	3	6	8	6	5	3	0	0	1	3	2	0	1	2	2	5	5	3	4	3	5	8	5	2	2	2	5	6	10	9	2	5	4	1	5	7	4	4	6	4	4	3	3	5	2	2	4	3	3	4	6	8	7	4	5	6	4	4	4	6	8	4	0	1	1	1	3	2	1	3	5	3	4	8	5	2	5	6	6	4	4	6	4	3	5	5	5	4	1	2	4	5	3	2	3	5	4	3	3	3	2	0	1	2	3	2	2	4
Eaglehorse(B2)	5	4	3	3	2	1	1	4	7	8	7	6	4	2	3	6	8	5	3	4	5	4	2	2	3	3	4	6	6	5	3	0	0	1	2	2	1	1	2	2	5	5	3	4	3	5	8	5	3	3	2	5	6	10	9	2	5	4	1	4	6	5	6	7	7	5	6	8	5	2	2	5	3	2	4	6	8	7	4	5	5	4	5	5	5	7	4	0	1	1	1	3	2	0	3	5	3	4	8	6	1	5	7	6	4	3	5	3	2	5	5	5	4	2	3	3	5	3	2	5	4	2	2	2	3	2	0	1	2	3	2	2	5
Hedgerow(B2)	5	5	3	2	1	2	4	4	4	8	9	6	3	1	4	6	8	6	4	5	4	4	2	2	2	3	5	7	7	4	3	1	0	1	2	2	1	1	2	2	4	5	4	4	2	5	7	5	4	1	1	5	5	10	9	2	3	4	3	4	7	5	4	6	6	5	7	7	5	3	3	4	3	3	4	6	8	7	4	5	6	4	4	4	6	8	4	0	1	1	1	3	2	0	2	5	3	4	8	5	2	5	5	6	5	2	3	3	3	5	5	5	4	1	2	5	6	3	2	2	4	4	3	3	3	2	0	1	2	3	2	2	4
Kheth(B2)	5	4	2	2	2	1	1	4	7	8	7	6	4	2	3	6	8	6	4	5	5	4	2	3	4	3	6	8	6	5	3	0	0	1	3	2	0	1	2	2	5	5	3	4	3	5	8	5	2	1	1	5	6	10	9	2	5	4	1	5	7	4	4	6	8	6	7	8	5	3	3	5	2	2	3	6	8	7	5	5	6	5	5	5	5	7	4	0	1	1	1	3	3	1	3	5	3	4	8	6	1	4	6	6	4	4	6	3	2	5	5	5	4	1	2	3	4	3	3	3	4	4	2	2	3	2	0	1	2	3	2	2	4
Laurie(B2)	5	4	3	3	2	1	2	5	7	8	7	6	4	2	3	5	7	5	3	5	5	3	1	2	3	3	6	7	5	5	3	0	0	2	3	2	0	1	2	2	5	5	3	4	3	4	7	5	2	3	4	5	6	9	8	2	4	3	1	5	7	10	10	3	1	1	1	3	2	3	5	2	2	3	6	9	8	5	5	5	4	5	5	5	7	4	2	2	0	1	3	2	1	4	5	3	4	8	6	3	4	4	4	5	5	4	4	3	2	5	6	5	3	3	6	5	3	2	2	5	6	3	3	4	3	0	2	3	2	2	2	4
LizLemon(B2)	5	5	4	3	1	2	4	4	4	8	9	6	3	1	4	6	8	6	4	5	5	5	2	2	2	4	7	7	6	4	3	1	0	2	3	2	1	1	2	2	4	6	5	4	2	5	7	5	4	1	1	5	5	10	9	1	3	4	3	4	7	6	4	7	8	5	7	8	5	2	3	4	3	3	4	5	8	9	5	5	7	5	4	4	6	8	4	0	1	1	1	3	3	1	2	5	3	4	8	6	2	5	6	6	5	2	5	5	3	5	5	4	5	2	2	5	5	3	2	3	5	4	3	3	3	2	0	1	2	3	2	2	3
Qyrzula(B2)	5	5	3	2	1	2	4	4	4	8	9	6	3	1	4	6	8	6	4	5	5	5	2	3	4	4	6	7	6	4	3	1	0	2	3	2	1	1	2	2	5	5	3	4	3	5	6	5	4	1	1	5	6	11	9	2	3	4	3	4	7	5	5	8	6	2	3	3	2	2	4	4	3	3	4	5	8	8	4	5	6	4	4	5	7	8	4	0	1	1	1	3	2	1	3	5	3	4	8	6	3	5	6	7	5	2	5	5	3	5	5	4	4	1	2	5	5	3	2	2	4	4	3	3	3	2	0	1	2	3	2	2	5
Rosebush(B2)	5	5	4	3	1	2	4	4	4	8	9	6	3	1	4	6	8	6	4	5	5	5	2	3	3	3	6	8	7	4	3	1	0	1	2	2	1	1	2	2	4	5	4	4	2	5	7	4	4	2	1	5	5	10	9	1	3	4	3	4	7	5	3	6	7	5	7	7	5	3	3	4	3	3	4	5	8	8	4	5	6	4	4	4	6	8	4	0	1	1	1	3	2	0	2	5	3	3	8	6	2	5	5	6	5	2	3	3	3	5	5	4	4	1	2	4	4	3	2	3	5	4	2	2	3	2	0	1	2	3	2	2	3
TA17A(B2)	4	3	2	2	3	2	1	4	7	8	7	6	4	3	4	6	8	5	2	4	5	5	3	2	3	3	6	7	5	5	3	0	0	1	3	2	0	1	2	2	6	6	3	4	3	5	8	5	2	1	1	5	6	10	8	2	5	4	1	6	7	3	6	9	9	6	7	8	4	2	3	5	3	2	3	6	9	8	4	5	6	4	6	5	4	7	4	1	1	0	1	3	2	0	3	5	3	4	8	6	1	4	6	6	4	2	4	4	3	4	4	5	4	2	2	2	5	3	3	6	4	2	2	2	3	3	1	2	2	2	1	3	5
